Data,Method,Parc,R,CIs_R_1,CIs_R_2,MAE,CIs_MAE_1,CIs_MAE_2,Delta_R,CIs_Delta_R_1,CIs_Delta_R_2,Delta_MAE,CIs_Delta_MAE_1,CIs_Delta_MAE_2
Age_gender_TBrainVolume,glmnet,NaN,0.0224515859593525,-0.0726398701143026,0.118264292624317,10.381157916234,9.66516415311493,11.1231085307747,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_TBrainVolume,randomF,NaN,0.104432464597327,-0.00125828388481507,0.212202362242691,10.1130615694183,9.35541705745933,10.9275411159076,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_TBrainVolume,SVR,NaN,0.00409212639709895,-0.0884481649737797,0.092565972345363,10.2488723251928,9.39612008184187,11.0409936758914,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_TBrainVolume,Xgboost,NaN,0.094041921190496,-0.0131327384517704,0.195026866878643,10.2606925043919,9.49738802666958,11.0873001344083,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_TBrainVolume_Contrast,glmnet,160,0.0749386748598968,-0.00963488939453068,0.15664877820904,10.2685342096757,9.5390483701108,10.984793779464,0.0524870889005443,-0.0647691659909573,0.164166250511852,-0.112623706558237,-0.408552988927688,0.197925152657308
Age_gender_TBrainVolume_Contrast,randomF,160,0.0287722311048979,-0.0619908994128226,0.120116435755644,10.2276018880727,9.51673297946758,11.0001088846402,-0.0756602334924292,-0.207765101709747,0.0567281259253652,0.11454031865447,-0.167148946542098,0.399065072657372
Age_gender_TBrainVolume_Contrast,SVR,160,0.00201925501908336,-0.109517457504311,0.101319967220178,10.1934877715038,9.46532083144486,11.0027173407591,-0.00207287137801559,-0.144294033348589,0.148077383844755,-0.0553845536890272,-0.252904583050038,0.130682277830481
Age_gender_TBrainVolume_Contrast,Xgboost,160,0.176397759755937,0.0853086592356499,0.272588501070812,10.198711446399,9.49444043156928,10.9229503764544,0.0823558385654415,-0.0334672677989206,0.204208209918484,-0.0619810579928899,-0.464472476662643,0.34202263757946
Age_gender_TBrainVolume_Contrast,glmnet,640,0.0382035225418082,-0.0532904959428634,0.134624255880134,10.3307675184732,9.57264433473512,11.0619299255495,0.0157519365824557,-0.121772886769855,0.142270257935794,-0.0503903977607738,-0.357741528942821,0.27924136177331
Age_gender_TBrainVolume_Contrast,randomF,640,0.106215099364815,0.00249098350323305,0.19893395395148,10.1121444667554,9.3601862819953,10.8069541455348,0.00178263476748754,-0.121095278771168,0.135559965942686,-0.000917102662878477,-0.252790489191098,0.253429484190892
Age_gender_TBrainVolume_Contrast,SVR,640,0.0406730879598862,-0.0558142119729758,0.129754582795282,10.1438163279369,9.40150367915596,10.8697065457454,0.0365809615627872,-0.0998989292711158,0.159388545459479,-0.105055997255878,-0.326757608861062,0.112354891749127
Age_gender_TBrainVolume_Contrast,Xgboost,640,0.128097245134941,0.0212224466002843,0.23272913237245,10.1903448028155,9.48183350141183,11.0091191105165,0.0340553239444454,-0.0997720987170079,0.156537782027876,-0.0703477015763774,-0.500773176750613,0.360163537810378
Age_gender_TBrainVolume_Contrast,glmnet,2560,-0.0146674527601063,-0.103356211400494,0.0692746194748606,10.4237839800249,9.64321683762585,11.2330898802201,-0.0371190387194589,-0.169315986632229,0.0930188537366341,0.0426260637909515,-0.226520833498662,0.326124016476211
Age_gender_TBrainVolume_Contrast,randomF,2560,0.124721807770421,0.0341730398210111,0.22150217891168,10.1080952249982,9.33541532590123,10.8756076141841,0.0202893431730941,-0.107231954901307,0.155996643101243,-0.00496634442003696,-0.269305671522051,0.233870720032478
Age_gender_TBrainVolume_Contrast,SVR,2560,0.115249509127792,0.0254582921011491,0.202228850343715,10.0828898080519,9.3113221786637,10.8301678041448,0.111157382730693,-0.0106243133634268,0.242947218482802,-0.165982517140851,-0.435759707602699,0.0721280760229295
Age_gender_TBrainVolume_Contrast,Xgboost,2560,0.146766444921524,0.0501905421029363,0.234599066718015,10.0555041929352,9.30636292935696,10.7949843419461,0.0527245237310281,-0.0713273639578393,0.191167994693686,-0.205188311456675,-0.622570784417938,0.21723610722028
Age_gender_TBrainVolume_Contrast,glmnet,AAL,0.0852122232006056,-0.0104154449221181,0.176903614600072,10.3641234249167,9.62520304165919,11.1062467756319,0.062760637241253,-0.0410771555605687,0.16360763582157,-0.0170344913172347,-0.320723267998329,0.29285641796902
Age_gender_TBrainVolume_Contrast,randomF,AAL,0.040649463127268,-0.0475211979557466,0.118747628058496,10.2077442672898,9.46503080054322,10.9967366927315,-0.063783001470059,-0.185206168304009,0.0624594003086365,0.0946826978714821,-0.182671338145352,0.386097656300283
Age_gender_TBrainVolume_Contrast,SVR,AAL,0.0193604126464657,-0.057139527431912,0.0956862569168318,10.1768922201958,9.41122167304122,10.9966674854166,0.0152682862493667,-0.10852400136969,0.128367792459753,-0.0719801049970137,-0.268005872637607,0.136946494326744
Age_gender_TBrainVolume_Contrast,Xgboost,AAL,0.0655163497029799,-0.0284290312738614,0.158177270112125,10.3323675569836,9.51427351309851,11.1295950125114,-0.0285255714875161,-0.159739112866506,0.0944142809544451,0.0716750525916865,-0.312377643329528,0.478923521476522
Age_gender_TBrainVolume_CT,glmnet,160,0.101935683824001,0.0122712443721439,0.199749295124122,10.2507709846564,9.44893013694082,11.0267607962569,0.0794840978646482,-0.0381339569387381,0.201902552453243,-0.130386931577574,-0.431263459725979,0.179404064674578
Age_gender_TBrainVolume_CT,randomF,160,0.0316959081941987,-0.0644315945438211,0.124785354488283,10.1473319019575,9.3772208015909,10.9555169085126,-0.0727365564031283,-0.191366634680747,0.0474284960444808,0.0342703325392737,-0.186240811732466,0.27795496966428
Age_gender_TBrainVolume_CT,SVR,160,0.0437714931591549,-0.0490480418710074,0.140204232577535,10.6103140190934,9.79171999729303,11.4794983485986,0.039679366762056,-0.104797681354251,0.188272719933625,0.361441693900568,-0.121562090599572,0.851425298942114
Age_gender_TBrainVolume_CT,Xgboost,160,0.084117276365813,-0.015192216354346,0.179296176285293,10.274176896737,9.48725401236608,11.0858778557253,-0.00992464482468294,-0.149349951600087,0.120763723960961,0.0134843923451111,-0.410456854280773,0.442955732984772
Age_gender_TBrainVolume_CT,glmnet,640,0.195070604937264,0.0590270536526567,0.332602177479746,9.96775276034994,9.19413391396714,10.7569828216867,0.172619018977912,0.017103457624185,0.320391863815122,-0.41340515588403,-0.872885419130279,0.0893230499821485
Age_gender_TBrainVolume_CT,randomF,640,0.0810071404975213,-0.0118902686846034,0.178365475909787,10.0976961487587,9.31218445842596,10.8285758095668,-0.0234253240998057,-0.14309922821181,0.0899419745940757,-0.0153654206595846,-0.236214954770657,0.208768599848112
Age_gender_TBrainVolume_CT,SVR,640,0.197459386805823,0.0934503730083526,0.29966248690016,9.89216476425627,9.14443788551752,10.6259017680245,0.193367260408724,0.0623629657626845,0.319185048693085,-0.356707560936528,-0.645564019602552,-0.0463110896721233
Age_gender_TBrainVolume_CT,Xgboost,640,0.18777786046468,0.0658621394817481,0.300208669926532,9.93542993867685,9.1704549610455,10.783010835622,0.093735939274184,-0.0519878046180066,0.236645129533132,-0.325262565715065,-0.764831941824496,0.164765631545325
Age_gender_TBrainVolume_CT,glmnet,2560,0.118328353164193,0.0121968897118694,0.219456880944983,9.99272925136837,9.20218428212794,10.8173603838279,0.0958767672048407,-0.0390655871545865,0.243896296156114,-0.3884286648656,-0.634754229804936,-0.123593188890306
Age_gender_TBrainVolume_CT,randomF,2560,0.179501376284502,0.0965204449346878,0.266759328735446,10.0414285251283,9.26946808050506,10.867123253296,0.0750689116871751,-0.0465501820371228,0.199228427389968,-0.0716330442899924,-0.303561368881057,0.148755731909352
Age_gender_TBrainVolume_CT,SVR,2560,0.10960755439886,0.00300670237860051,0.214515956330545,10.1975952423,9.47356188210921,10.939714162199,0.105515428001761,-0.045278775543026,0.26738474607387,-0.0512770828928328,-0.385199209308456,0.298528197007748
Age_gender_TBrainVolume_CT,Xgboost,2560,0.151892859914902,0.0637549671940981,0.242435710352102,10.1023120215367,9.32085497449614,10.7813776952012,0.0578509387244065,-0.0664099926788078,0.178298814313149,-0.158380482855176,-0.606659815074931,0.313475171618423
Age_gender_TBrainVolume_CT,glmnet,AAL,0.0693563100751404,-0.0227016093324809,0.152612599511867,10.252988461732,9.53054990213449,11.0442193925478,0.0469047241157879,-0.0616203130074875,0.162858657906069,-0.128169454501938,-0.419267977415548,0.146224888998908
Age_gender_TBrainVolume_CT,randomF,AAL,0.0201996006472074,-0.0723139357899895,0.112385451791079,10.1780286979066,9.39618151711284,10.926269806191,-0.0842328639501196,-0.190839646140514,0.0329884124472736,0.0649671284882984,-0.151554945185,0.276315659413466
Age_gender_TBrainVolume_CT,SVR,AAL,0.0162309919842511,-0.0781017925610251,0.0996855627596919,10.2371892952342,9.50341975095679,11.0035553150675,0.0121388655871521,-0.107702998257504,0.129996018682101,-0.0116830299585864,-0.267202492620713,0.247413538563828
Age_gender_TBrainVolume_CT,Xgboost,AAL,0.144127505861135,0.0504952485228871,0.233669108953811,10.2360845570909,9.42195608021427,11.0372984019425,0.0500855846706391,-0.0723027304943458,0.166970775060736,-0.0246079473009697,-0.415635587063296,0.399170320730747
